ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9319791,HW463793,09/23/2013 5:00,082XX S EVANS AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,631,6,6,44,5,1182699,1850597,2013,09/27/2013 0:40,41.74524533,-87.60613435,"(41.745245334298126, -87.60613434992197)"
9321631,HW465551,09/23/2013 5:00,018XX S PEORIA ST,810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1235,12,25,31,6,1170916,1891295,2013,09/27/2013 0:40,41.85719016,-87.64812027,"(41.857190156656316, -87.64812027085345)"
9318801,HW463235,09/23/2013 4:35,013XX W 73RD ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,734,7,17,67,7,1168656,1856398,2013,09/25/2013 0:43,41.76147821,-87.65742312,"(41.76147820807962, -87.65742312244203)"
9318816,HW463238,09/23/2013 4:30,111XX S ARTESIAN AVE,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,OTHER,TRUE,FALSE,2212,22,19,75,5,1161992,1830713,2013,09/30/2013 0:39,41.6911355,-87.68255907,"(41.69113550082625, -87.68255906989246)"
9318863,HW463257,09/23/2013 4:30,006XX N MICHIGAN AVE,870,THEFT,POCKET-PICKING,SIDEWALK,FALSE,FALSE,1834,18,42,8,6,1177289,1904263,2013,09/25/2013 0:43,41.89263316,-87.62433479,"(41.89263315504753, -87.62433478899382)"
9319915,HW463818,09/23/2013 4:15,055XX W CORCORAN PL,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1523,15,28,25,5,1139347,1901976,2013,09/30/2013 0:39,41.88713313,-87.76373743,"(41.88713313145879, -87.76373742549971)"
9318802,HW463234,09/23/2013 4:15,054XX W NORTH AVE,610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,FALSE,FALSE,2532,25,37,25,5,1140016,1910067,2013,09/28/2013 0:40,41.90932359,-87.76108244,"(41.90932359478041, -87.76108244436118)"
9318783,HW463227,09/23/2013 4:05,036XX N OCONTO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1631,16,36,17,14,1127145,1923129,2013,09/27/2013 0:40,41.94539329,-87.80807179,"(41.945393290485704, -87.80807178712563)"
9319308,HW463418,09/23/2013 4:00,052XX N PULASKI RD,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,OTHER,FALSE,FALSE,1712,17,39,13,5,1148735,1934687,2013,09/30/2013 0:39,41.97671882,-87.72841412,"(41.97671881927723, -87.72841412107472)"
9320421,HW463226,09/23/2013 3:50,112XX S VERNON AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,531,5,9,49,08A,1181290,1830328,2013,09/28/2013 0:40,41.68965721,-87.61191942,"(41.68965721161895, -87.61191942420838)"
9318792,HW463225,09/23/2013 3:50,018XX S LAFLIN ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,1233,12,25,31,3,1166706,1891021,2013,09/25/2013 0:43,41.85652943,-87.66358114,"(41.856529431994105, -87.66358114234495)"
